Filename,ClassId
00238,4
05914,1
05566,38
09501,17
09973,1
08341,6
04326,5
01478,4
08894,41
04481,10
07233,5
07594,38
06473,15
06801,17
08720,4
01019,5
04747,12
08087,9
05107,38
00659,10
09160,32
06012,4
11939,13
07652,31
07683,7
07124,1
06764,10
12328,3
00688,17
09616,35
05671,2
04796,25
04031,1
08056,39
03829,38
06305,33
07545,1
07937,5
08390,3
04822,13
04450,17
08437,11
08845,14
09277,18
05210,10
12270,26
00077,10
05729,5
01190,10
04169,14
01637,2
02085,31
10957,36
10525,8
02722,12
10282,12
11365,9
03162,33
01983,7
01256,31
04508,12
09488,35
12611,11
05348,4
00864,1
00416,10
11704,35
06988,2
03503,10
03971,34
02896,12
10144,25
02343,1
10195,3
02435,11
02847,27
10632,17
02392,11
06959,9
03275,4
11072,12
00360,9
09459,3
05399,9
12167,38
08219,22
01952,5
01520,8
01287,10
03614,35
11861,9
11413,4
10986,26
02054,18
10253,10
08678,6
01141,33
00701,4
09038,5
12506,34
10716,25
02963,17
02511,20
03884,12
11156,4
03351,1
00991,23
12043,1
00244,10
05968,8
01404,38
01876,38
03097,13
11537,1
11945,2
03730,25
11290,7
10377,38
07189,11
02170,18
01065,7
00182,36
12422,11
00625,13
12385,11
00153,25
12354,26
01713,30
02606,28
07158,17
10401,1
10873,9
11994,9
06718,18
03046,28
11241,1
01372,2
08839,5
12092,38
00532,23
00940,35
00295,1
11187,12
03855,38
03427,4
06379,34
11620,4
03380,38
07539,12
02267,12
10060,35
07000,9
10559,31
06640,10
11319,35
09732,28
05755,4
09095,24
04115,31
08172,38
06221,5
11778,3
06586,2
07813,7
07461,30
02498,38
10138,10
04574,2
04906,5
08961,3
08513,1
09353,11
05334,8
00818,1
09886,4
05493,38
09382,28
05442,4
05830,1
09857,17
09425,13
08265,11
04202,13
02449,9
07317,8
06925,5
06557,8
03209,2
08604,17
04663,6
05784,38
05023,25
09044,4
06691,10
03668,14
06136,42
10588,10
07776,40
02028,4
06408,4
03356,2
03883,7
11151,10
02516,12
02964,9
07248,33
10711,4
01871,33
01403,2
04888,1
00243,0
09908,13
00996,25
12044,12
07629,12
02177,14
10370,14
03737,22
06069,5
11297,10
03090,4
11942,7
11530,18
00622,1
12382,11
00185,25
12425,13
01062,13
01714,42
12353,36
00154,17
11246,18
11993,11
03041,13
10874,10
10406,0
02601,38
00292,13
12095,3
00947,1
00535,31
01375,18
04859,14
07299,7
10067,25
02260,10
11627,13
03387,30
11180,9
03420,0
03852,9
06647,35
03119,38
02759,36
07007,17
04112,23
08175,18
09092,35
09735,38
05752,6
07466,9
07814,31
02338,8
10698,41
06581,13
03578,4
06226,25
09881,23
05494,2
09354,15
05333,1
04901,31
04573,2
08514,17
08966,19
08262,12
04205,2
01929,1
05837,2
05445,20
09422,38
09850,25
09385,13
06550,18
06922,17
11009,38
07310,14
10649,12
05024,13
09043,9
05783,14
08603,23
04664,38
07771,8
10228,9
02788,8
06131,1
06696,37
11468,31
08893,10
04486,1
08346,17
04321,3
00598,2
12038,4
05561,12
05913,33
09974,11
09506,11
06806,38
06474,35
07593,26
